instance_clean,best_size,size_out,num_swaps,size_diff
0410184_169,237.0,243,32,6.0
3_17_13,43.0,43,7,0.0
4_49_16,251.0,248,31,-3.0
4gt10-v1_81,171.0,169,21,-2.0
4gt11_82,34.0,34,7,0.0
4gt11_83,28.0,28,5,0.0
4gt11_84,22.0,22,4,0.0
4gt12-v0_86,268.0,276,25,8.0
4gt12-v0_87,265.0,269,22,4.0
4gt12-v0_88,217.0,215,21,-2.0
4gt12-v1_89,252.0,246,18,-6.0
4gt13-v1_93,79.0,79,11,0.0
4gt13_90,123.0,123,16,0.0
4gt13_91,116.0,116,13,0.0
4gt13_92,78.0,77,11,-1.0
4gt4-v0_72,278.0,281,23,3.0
4gt4-v0_73,438.0,443,48,5.0
4gt4-v0_78,257.0,262,27,5.0
4gt4-v0_79,254.0,256,25,2.0
4gt4-v0_80,199.0,198,19,-1.0
4gt4-v1_74,308.0,299,26,-9.0
4gt5_75,94.0,94,11,0.0
4gt5_76,106.0,103,12,-3.0
4gt5_77,147.0,148,17,1.0
4mod5-bdd_287,78.0,78,8,0.0
4mod5-v0_18,81.0,81,12,0.0
4mod5-v0_19,40.0,40,5,0.0
4mod5-v0_20,24.0,24,4,0.0
4mod5-v1_22,26.0,26,5,0.0
4mod5-v1_23,81.0,81,12,0.0
4mod5-v1_24,44.0,43,7,-1.0
4mod7-v0_94,181.0,184,22,3.0
4mod7-v1_96,185.0,185,21,0.0
9symml_195,39854.0,42165,7284,2311.0
C17_204,500.0,506,39,6.0
adr4_197,3825.0,4076,637,251.0
aj-e11_165,174.0,174,23,0.0
alu-bdd_288,94.0,94,10,0.0
alu-v0_26,98.0,95,11,-3.0
alu-v0_27,45.0,44,8,-1.0
alu-v1_28,44.0,44,7,0.0
alu-v1_29,45.0,44,7,-1.0
alu-v2_30,566.0,558,54,-8.0
alu-v2_31,521.0,533,82,12.0
alu-v2_32,186.0,188,25,2.0
alu-v2_33,46.0,46,9,0.0
alu-v3_34,59.0,59,7,0.0
alu-v3_35,43.0,43,6,0.0
alu-v4_36,129.0,129,14,0.0
alu-v4_37,46.0,45,8,-1.0
clip_206,38517.0,41481,7654,2964.0
cm152a_212,1362.0,1404,183,42.0
cm42a_207,1963.0,2042,266,79.0
cm82a_208,719.0,725,75,6.0
cm85a_209,12772.0,13896,2482,1124.0
cnt3-5_179,201.0,202,27,1.0
cnt3-5_180,554.0,558,73,4.0
co14_215,20319.0,22377,4441,2058.0
con1_216,1042.0,1093,139,51.0
cycle10_2_110,6793.0,7296,1246,503.0
dc1_220,2076.0,2192,278,116.0
dc2_222,10579.0,11319,1857,740.0
decod24-bdd_294,83.0,83,10,0.0
decod24-enable_126,369.0,379,41,10.0
decod24-v0_38,62.0,62,11,0.0
decod24-v1_41,97.0,97,12,0.0
decod24-v2_43,63.0,63,11,0.0
decod24-v3_45,170.0,173,23,3.0
dist_223,43601.0,46569,8523,2968.0
ex-1_166,22.0,22,3,0.0
ex1_226,12.0,12,5,0.0
ex2_227,708.0,711,80,3.0
ex3_229,437.0,438,35,1.0
f2_232,1364.0,1375,169,11.0
graycode6_47,8.0,8,3,0.0
ground_state_estimation_10,395844.0,404738,14558,8894.0
ham15_107,9780.0,10409,1646,629.0
ham3_102,24.0,24,4,0.0
ham7_104,352.0,357,37,5.0
hwb4_49,271.0,274,41,3.0
hwb5_53,1512.0,1542,206,30.0
hwb6_56,7617.0,8036,1313,419.0
hwb7_59,27679.0,29611,5232,1932.0
hwb8_113,79891.0,85275,15895,5384.0
hwb9_119,238787.0,245892,38117,7105.0
inc_237,11659.0,12722,2103,1063.0
ising_model_10,486.0,486,6,0.0
ising_model_13,641.0,640,7,-1.0
ising_model_16,799.0,799,13,0.0
life_238,25659.0,27026,4581,1367.0
majority_239,678.0,680,68,2.0
max46_240,30933.0,32351,5225,1418.0
miller_11,59.0,59,9,0.0
mini-alu_167,337.0,341,53,4.0
mini_alu_305,190.0,192,19,2.0
misex1_241,5273.0,5663,850,390.0
mlp4_245,21301.0,22999,4147,1698.0
mod10_171,278.0,283,39,5.0
mod10_176,205.0,202,24,-3.0
mod5adder_127,606.0,620,65,14.0
mod5d1_63,28.0,28,6,0.0
mod5d2_64,64.0,64,11,0.0
mod5mils_65,41.0,41,6,0.0
mod8-10_177,484.0,497,57,13.0
mod8-10_178,368.0,369,27,1.0
one-two-three-v0_97,332.0,340,50,8.0
one-two-three-v0_98,165.0,168,22,3.0
one-two-three-v1_99,154.0,154,22,0.0
one-two-three-v2_100,82.0,78,9,-4.0
one-two-three-v3_101,81.0,81,11,0.0
plus63mod4096_163,149727.0,158368,29624,8641.0
plus63mod8192_164,216670.0,230404,43292,13734.0
pm1_249,1958.0,2024,248,66.0
qe_qft_4,76.0,76,5,0.0
qe_qft_5,109.0,109,2,0.0
qft_10,225.0,226,26,1.0
qft_16,576.0,607,95,31.0
radd_250,3596.0,3825,612,229.0
rd32-v0_66,42.0,42,8,0.0
rd32-v1_68,44.0,44,8,0.0
rd32_270,98.0,98,14,0.0
rd53_130,1183.0,1207,164,24.0
rd53_131,519.0,523,54,4.0
rd53_133,636.0,643,63,7.0
rd53_135,335.0,341,45,6.0
rd53_138,147.0,144,12,-3.0
rd53_251,1454.0,1499,208,45.0
rd53_311,313.0,315,40,2.0
rd73_140,257.0,256,26,-1.0
rd73_252,6005.0,6268,947,263.0
rd84_142,399.0,405,62,6.0
rd84_253,15659.0,16655,2997,996.0
root_255,19426.0,20970,3811,1544.0
sao2_257,43222.0,47449,8872,4227.0
sf_274,808.0,817,36,9.0
sf_276,822.0,847,69,25.0
sqn_258,11463.0,12093,1870,630.0
sqrt8_260,3380.0,3616,607,236.0
squar5_261,2165.0,2322,329,157.0
square_root_7,8362.0,9159,1529,797.0
sym10_262,74021.0,78801,14518,4780.0
sym6_145,4317.0,4571,683,254.0
sym6_316,309.0,315,45,6.0
sym9_146,368.0,380,52,12.0
sym9_148,23584.0,24901,3397,1317.0
sym9_193,39950.0,42518,7637,2568.0
sys6-v0_111,236.0,237,22,1.0
urf1_149,213482.0,226530,41666,13048.0
urf1_278,63843.0,69056,14290,5213.0
urf2_152,92256.0,97067,16587,4811.0
urf2_277,23397.0,25275,5163,1878.0
urf3_155,491230.0,508618,85130,17388.0
urf3_279,147215.0,154658,29296,7443.0
urf4_187,576694.0,624000,111936,47306.0
urf5_158,189803.0,200909,36493,11106.0
urf5_280,58012.0,62361,12532,4349.0
urf6_160,201188.0,210901,39061,9713.0
wim_266,1104.0,1120,134,16.0
xor5_254,12.0,12,5,0.0
z4_268,3384.0,3615,542,231.0
