,qasm,best_size,size_out,num_swaps,size_diff,size
50,clip_206,38517.0,41481,7654,2964.0,33827
145,sym9_193,39950.0,42518,7637,2568.0,34881
33,9symml_195,39854.0,42165,7284,2311.0,34881
68,dist_223,43601.0,46569,8523,2968.0,38046
133,sao2_257,43222.0,47449,8872,4227.0,38577
155,urf5_280,58012.0,62361,12532,4349.0,49829
148,urf1_278,63843.0,69056,14290,5213.0,54766
140,sym10_262,74021.0,78801,14518,4780.0,64283
83,hwb8_113,79891.0,85275,15895,5384.0,69380
149,urf2_152,92256.0,97067,16587,4811.0,80480
152,urf3_279,147215.0,154658,29296,7443.0,125362
110,plus63mod4096_163,149727.0,158368,29624,8641.0,128744
154,urf5_158,189803.0,200909,36493,11106.0,164416
156,urf6_160,201188.0,210901,39061,9713.0,171840
147,urf1_149,213482.0,226530,41666,13048.0,184864
111,plus63mod8192_164,216670.0,230404,43292,13734.0,187112
84,hwb9_119,238787.0,245892,38117,7105.0,207775
75,ground_state_estimation_10,395844.0,404738,14558,8894.0,390180
151,urf3_155,491230.0,508618,85130,17388.0,423488
153,urf4_187,576694.0,624000,111936,47306.0,512064
